Image,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
Split/1.jpg,618,1366,710,1524
Split/2.jpg,603,1664,1059,1905
Split/3.jpg,884,84,1044,195
Split/4.jpg,81,1269,341,4210
Split/5.jpg,177,1273,361,1423
Split/6.jpg,196,409,343,506
Split/7.jpg,1066,1447,1244,1621
Split/8.jpg,654,1071,840,1222
Split/9.jpg,338,733,458,831
Split/10.jpg,-1728,2433,8870,79635
Split/11.jpg,1162,401,1642,973
Split/12.jpg,266,315,5209,3097
Split/13.jpg,526,325,665,443
Split/14.jpg,697,424,879,596
Split/15.jpg,46,1411,514,2220
